"Participant","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Gender","Age","Ethnicity","Nationality","Years_Singapore","Education","Student","Discipline","English","AI_expertise","GAAIS_Positive_7","GAAIS_Negative_15","BAIT_6_EnvironmentReal","GAAIS_Positive_17","BAIT_4_VideosIssues","GAAIS_Negative_10","BAIT_2_ImagesIssues","BAIT_1_ImagesRealistic","BAIT_5_ImitatingReality","GAAIS_Negative_9","BAIT_7_TextRealistic","GAAIS_Positive_12","BAIT_8_TextIssues","BAIT_3_VideosRealistic","Duration_BAIT","PID5_NegativeAffect_10","PID5_NegativeAffect_15","PID5_Disinhibition_6","PID5_Psychoticism_23","PID5_Antagonism_17","PID5_Antagonism_25","PID5_Disinhibition_2","PID5_Antagonism_20","PID5_Psychoticism_21","PID5_Psychoticism_12","PID5_Detachment_14","PID5_Psychoticism_7","PID5_Disinhibition_3","PID5_NegativeAffect_11","PID5_Detachment_13","PID5_Detachment_4","PID5_Disinhibition_1","PID5_NegativeAffect_8","PID5_Disinhibition_5","PID5_Antagonism_22","PID5_Antagonism_19","PID5_Detachment_18","PID5_NegativeAffect_9","PID5_Psychoticism_24","PID5_Detachment_16","Duration_PID5","IPIP6_Extraversion_1","IPIP6_Agreeableness_2","IPIP6_Conscientiousness_3","IPIP6_Neuroticism_4","IPIP6_Openness_5","IPIP6_HonestyHumility_6_R","IPIP6_Extraversion_7_R","IPIP6_Agreeableness_8_R","IPIP6_Openness_9_R","IPIP6_Conscientiousness_10","IPIP6_Conscientiousness_11_R","IPIP6_HonestyHumility_12_R","IPIP6_Openness_13_R","IPIP6_Agreeableness_14","IPIP6_Neuroticism_15_R","IPIP6_Neuroticism_16","IPIP6_Neuroticism_17_R","IPIP6_HonestyHumility_18_R","IPIP6_Extraversion_19_R","IPIP6_Agreeableness_20_R","IPIP6_Openness_21_R","IPIP6_Conscientiousness_22_R","IPIP6_Extraversion_23","IPIP6_HonestyHumility_24_R","Duration_IPIP6"
"S519",2024-10-11 09:09:58,137.742466666667,"edge-chromium 129.0.0","false","Windows 10",1920,1080,"Male","21","CHINESE","SINGAPOREAN","21","High school or equivalent (A-levels, Diploma, etc.)","Yes","cOMPUTER ENGINEERING","Native","Experienced (I use it often)",0.53,0.53,0.51,0.45,0.52,0.52,0.47,0.56,0.48,0.46,0.56,0.55,0.52,0.49,0.998361666665475,1,1,0,2,0,0,0,0,1,0,1,1,1,2,0,2,1,2,0,0,1,0,0,2,2,1.67243333333333,0.51,0.56,0.58,0.46,0.48,0.51,0.51,0.4,0.53,0.73,0.3,0.6,0.52,0.59,0.47,0.47,0.43,0.33,0.6,0.51,0.48,0.39,0.39,0.28,1.2659649999996
"S294",2024-02-05 19:16:33,20.4603166666667,"chrome 120.0.0","false","Android OS",800,1144,"Male","30","Asian","Sg","20","Bachelor or equivalent","No","Science","Native","Experienced (I use it often)",0.75,0.91,0.8,0.86,0.87,0.71,0.75,0.68,0.86,0.84,0.83,0.69,0.71,0.73,0.270643333333358,0,0,0,2,0,0,0,0,2,0,0,1,1,1,0,0,1,1,0,0,2,0,1,1,0,1.41063333333333,0.72,0.83,0.88,0.29,0.74,0.63,0.04,0.63,0.74,0.9,0.82,0.81,0.39,0.73,0.75,0.75,0.18,0.3,0.72,0.68,0.59,0.33,0.65,0.75,1.82518000000007
"S235",2024-02-05 17:54:38,109.831616666667,"ios 17.3.0","true","iOS",980,1677,"Female","60"," Chinese ","Singapore citizen","60","Bachelor or equivalent","No","Economics ","Fluent (academic)","Experienced (I use it often)",0.66,0.56,0.8,0.39,0.88,0.64,0.18,0.83,0.69,0.79,0.63,0.82,0.64,0.18,3.43888333333333,2,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,3.74026666666667,0.11,0.85,0.85,0.07,0.85,0.07,0.65,0.35,0.63,0.85,0.11,0.1,0.84,0.64,0.55,0.36,0.44,0.14,0.81,0.34,0.64,0.13,0.3,0.1,2.09263333333333
"S514",2024-10-07 08:49:31,128.882033333333,"edge-chromium 129.0.0","false","Windows 10",1920,1080,"Male","24","Chinese","Singaporean","24","Bachelor or equivalent","Yes","Psychology","Native","Experienced (I use it often)",0.68,0.45,0.6,0.66,0.6,0.59,0.63,0.64,0.61,0.38,0.68,0.66,0.6,0.53,3.6072550000002,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,2,0,1,0,1,0,2,1,3.4273,0.32,0.83,0.29,0.38,0.45,0.33,0.5,0.67,0.38,0.56,0.38,0.44,0.39,0.7,0.61,0.55,0.38,0.36,0.56,0.29,0.37,0.63,0.37,0.23,3.60057166666687
"S376",2024-02-06 00:06:39,28.3505333333333,"chrome 121.0.0","false","Windows 10",1198,547,"Male","25","Chinese","Singaporean","25","Bachelor or equivalent","Yes","Accountancy","Native","Relatively experienced (I used it a few times)",0.65,0.38,0.41,0.55,0.58,0.28,0.52,0.57,0.38,0.37,0.51,0.57,0.67,0.51,0.952151666669051,1,2,0,2,1,1,0,1,1,1,2,1,0,2,2,1,1,1,1,2,0,1,0,0,2,2.38273333333333,0,0.69,0.55,0.32,0.18,0.65,1,0.56,0.79,0.92,0.62,0.71,0.81,0.61,0.56,0.24,0.64,0.17,1,0.58,0.64,0.46,0,0.45,0.902258333333333
"S479",2024-07-26 12:50:04,173.11895,"edge-chromium 126.0.0","false","Windows 10",1872,958,"Female","25","Uyghur (China)","China","1","University (master) <sub><sup>or equivalent</sup></sub>","Yes","Arts and Humanities","Fluent (academic)","Highly experienced (I use it a lot)",1,0.05,0.18,0.85,0.43,0.43,0.43,0.36,0.58,0.24,0.31,0.92,0.61,0.65,2.47279833333095,1,1,1,2,0,0,1,1,2,0,2,2,2,2,2,2,2,0,0,0,0,2,1,2,3,3.89905,0.21,0.89,0.2,0.73,1,0.74,1,0.67,0.09,0.57,0.4,0.7,0,1,0.24,0.55,0.22,0.81,0.59,0.33,0.09,1,0.02,0.51,3.02754333333572
"S130",2024-02-05 16:04:23,24.6775666666667,"ios 16.6.0","true","iOS",980,1700,"Male","22","Indian","Singaporean","22","High school or equivalent (A-levels, Diploma, etc.)","Yes","Chemical engineering ","Native","Highly experienced (I use it a lot)",1,1,1,0.81,1,0.69,0.25,0.99,0.95,0.24,1,1,0.02,0.01,1.56271666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7035,1,1,0,0,1,1,0,1,0,0,1,1,0.01,1,1,0,0.02,1,0,1,0,0,1,1,1.1005
"S474",2024-02-18 22:50:07,20.62105,"ios 17.2.0","true","iOS",980,1640,"Female","22","Chinese","Singaporean","22","High school or equivalent (A-levels, Diploma, etc.)","Yes","Civil Engineering ","Native","Relatively experienced (I used it a few times)",0.61,0.75,0.63,0.61,0.68,0.78,0.6,0.62,0.66,0.6,0.66,0.58,0.41,0.45,0.51535,2,2,1,2,1,1,1,2,2,0,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2.49446666666667,0.56,0.61,0.35,0.64,0.59,0.44,0.4,0.36,0.4,0.64,0.41,0.58,0.47,0.56,0.39,0.63,0.4,0.46,0.55,0.45,0.68,0.63,0.61,0.53,3.14491666666667
"S337",2024-02-05 21:42:07,32.2849333333333,"chrome 119.0.0","false","Linux",980,1715,"Male","40","Chinese","Singapore","40","High school or equivalent (A-levels, Diploma, etc.)","No","History","Native","Little experience (I tried it)",0.9,0.92,0.68,0.92,0.99,0.95,0.24,0.81,0.81,0.38,0.58,0.93,0.63,0.31,1.25600833333333,2,0,1,2,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1.72976666666667,0.18,0.7,0.85,0.19,0.74,0.5,0.74,0.29,0.18,0.78,0.07,0.64,0.29,0.8,0.62,0.25,0.27,0.06,0.81,0.2,0.08,0.11,0.09,0.32,1.28920833333333
"S428",2024-02-06 13:43:30,22.7671166666667,"ios 16.6.0","true","iOS",980,1716,"Female","24","Chinese","Singaporean","24","Bachelor or equivalent","No","Business","Native","Experienced (I use it often)",0.79,0.92,0.89,0.81,0.85,0.98,0.13,0.67,0.87,0.88,0.76,0.84,0.77,0.25,0.661116666666667,2,2,2,2,1,0,2,2,1,0,0,0,1,1,0,2,0,2,1,1,2,1,3,0,1,2.74916666666667,0.33,0.68,0.26,0.76,0.24,0.77,1,0.19,0.88,0.83,0.23,0.87,0.83,0.77,0.35,0.79,0.36,0.36,0.89,0.33,0.4,0.44,0.26,0.24,0.621083333333333
